,Battery Capacity,Total Score,Daily Diesel R2 Score,Daily Diesel MSE Score,SOC R2 Score,SOC MSE Score,SOC MSE,SOC R2,Daily Gen MSE,Daily Gen R2
0,200,2.732498175,0.985206178,0.673301515,0.972850043,0.101140439,27.20582922,0.818948079,367.4098752,0.837359019
1,201,2.735176217,0.987031946,0.675787007,0.973275406,0.099081858,27.26813643,0.819306151,364.6146547,0.8389108
2,202,2.740877596,0.989203746,0.677239127,0.97428166,0.100153063,27.2357142,0.820153218,362.9815793,0.840756684
3,203,2.743613826,0.990589145,0.677297462,0.975188165,0.100539054,27.2240314,0.820916316,362.9159747,0.84193418
4,204,2.748211013,0.992200338,0.677205776,0.976387123,0.102417776,27.16716802,0.821925603,363.0190858,0.843303586
5,205,2.747946805,0.993921698,0.674506923,0.976237119,0.103281066,27.14103878,0.821799329,366.0542557,0.844766626
6,206,2.75261069,0.995511487,0.674895821,0.977361295,0.104842087,27.09379126,0.822745664,365.6168953,0.846117839
7,207,2.761651369,0.995350586,0.668085603,0.980657279,0.117557901,26.70892106,0.825520234,373.2757654,0.845981084
8,208,2.769513945,0.994179637,0.663690102,0.983522823,0.128121384,26.38919557,0.827932456,378.2190107,0.844985857
9,209,2.772514485,0.995053581,0.663836344,0.984556861,0.129067699,26.36055341,0.828802913,378.0545446,0.84572865
10,210,2.774323511,0.997220499,0.664113028,0.984996896,0.127993087,26.39307873,0.829173336,377.7433811,0.847570385
11,211,2.773060507,0.996082226,0.661271517,0.986041711,0.129665053,26.34247326,0.830052865,380.9389862,0.846602929
12,212,2.771607805,0.996858274,0.659946533,0.986275124,0.128527875,26.37689229,0.830249352,382.4290823,0.847262518
13,213,2.772979417,0.997408177,0.658134596,0.987186951,0.130249692,26.32477795,0.831016931,384.4668127,0.847729899
14,214,2.773378671,0.998538932,0.657202238,0.987578801,0.130058699,26.33055874,0.831346792,385.5153564,0.848690965
15,215,2.774429595,0.998322768,0.653837784,0.988848479,0.133420563,26.22880503,0.83241561,389.2990702,0.84850724
16,216,2.779819925,0.998871945,0.647921309,0.990989666,0.142037006,25.96801071,0.834218067,395.9528249,0.848974003
17,217,2.778485114,0.998383243,0.644461037,0.991850307,0.143790527,25.9149368,0.834942558,399.8442965,0.848558639
18,218,2.778053264,0.999073767,0.642339671,0.992309868,0.144329958,25.89860981,0.835329417,402.2300161,0.849145538
19,219,2.750011314,0.990148777,0.622238014,0.991891849,0.145732674,25.85615373,0.834977528,424.8366323,0.841559897
20,220,2.754363856,0.993692336,0.622311362,0.992328948,0.14603121,25.84711791,0.835345479,424.7541444,0.844571684
21,221,2.728976997,0.991328533,0.609892662,0.989625161,0.138130641,26.08624486,0.833069423,438.7203946,0.84256261
22,222,2.728115172,0.992622742,0.608111215,0.989875669,0.137505546,26.10516464,0.833280301,440.7238364,0.843662601
23,223,2.726395204,0.993597031,0.606116492,0.990097481,0.1365842,26.13305108,0.833467024,442.9671309,0.84449068
24,224,2.727854067,0.994769494,0.603582358,0.991026324,0.13847589,26.07579519,0.834248927,445.8170548,0.845487196
25,225,2.726460636,0.995082956,0.600462239,0.991544995,0.139370446,26.04871963,0.834685545,449.3259858,0.845753617
26,226,2.701025125,0.989477303,0.586261177,0.990267462,0.135019183,26.18041954,0.833610114,465.2967072,0.840989189
27,227,2.70133246,0.988713667,0.578430332,0.990622089,0.143566371,25.92172133,0.83390864,474.1033895,0.84034015
28,228,2.696128802,0.987573451,0.573967595,0.991123023,0.143464733,25.92479763,0.834330328,479.1222481,0.839371042
29,229,2.698482496,0.98974463,0.573280541,0.99172588,0.143731445,25.91672505,0.834837815,479.8949189,0.841216398
30,230,2.683072775,0.986249128,0.561145469,0.991638491,0.144039687,25.90739546,0.834764251,493.5421984,0.838245457
31,231,2.742733398,1,0.579948182,0.997744095,0.165041122,25.27174394,0.839903966,472.3963936,0.849932774
32,232,2.737165417,0.998874123,0.574693701,0.998318405,0.165279189,25.26453834,0.840387422,478.305659,0.848975854
33,233,2.734186571,0.993666016,0.561127522,1,0.179393033,24.83735389,0.841802994,493.5623816,0.844549314
34,234,2.716729849,0.989173294,0.551235971,0.999732579,0.176588005,24.9222538,0.841577878,504.6865644,0.840730801
35,235,2.704525222,0.986346185,0.543201726,0.999784952,0.175192359,24.9644959,0.841621965,513.7219931,0.838327949
36,236,2.679710538,0.983676917,0.538022795,0.995099025,0.162911801,25.33619219,0.837677338,519.5462942,0.83605925
37,237,2.653746022,0.984064965,0.526771301,0.990242634,0.152667121,25.64626846,0.833589214,532.1998879,0.836389065
38,238,2.653562329,0.985709808,0.519400902,0.991422595,0.157029024,25.51424652,0.834582509,540.4887464,0.837787071
39,239,2.650799227,0.98731403,0.515693541,0.991779191,0.156012465,25.54501476,0.834882692,544.6580986,0.839150552
40,240,2.648022417,0.988410366,0.510809381,0.992549002,0.156253669,25.53771423,0.835530721,550.1508965,0.840082364
41,241,2.607879595,0.975703927,0.47258439,0.993739278,0.165852,25.24720103,0.836532699,593.1392782,0.829282745
42,242,2.605558223,0.978434891,0.472772023,0.993366284,0.160985025,25.39451003,0.836218712,592.9282631,0.831603881
43,243,2.559458271,0.971794747,0.461233624,0.986991375,0.139438525,26.04665906,0.830852294,605.9045145,0.825960205
44,244,2.55931764,0.974428861,0.46062425,0.987219202,0.137045327,26.11909413,0.83104408,606.5898249,0.828199024
45,245,2.532795977,0.973516986,0.449075418,0.984313401,0.125890173,26.45672776,0.828597967,619.5778103,0.827423993
46,246,2.533263307,0.974348406,0.442058178,0.985963226,0.130893498,26.30529184,0.829986795,627.4695008,0.828130643
47,247,2.567005595,0.987795016,0.457559395,0.988110669,0.133540515,26.22517445,0.831794519,610.0366059,0.839559358
48,248,2.534887621,0.978010391,0.437402014,0.987603571,0.131871645,26.27568621,0.831367643,632.7058901,0.831243084
49,249,2.542903387,0.977823028,0.43610378,0.988655099,0.14032148,26.01993464,0.832252822,634.1659027,0.831083839
50,250,2.539971258,0.979112148,0.427494735,0.989828574,0.143535801,25.92264659,0.833240656,643.8477604,0.832179504
51,251,2.539283732,0.979210532,0.424742145,0.991103564,0.14422749,25.9017112,0.834313947,646.9433629,0.832263124
52,252,2.525147906,0.976012972,0.414189291,0.989882182,0.145063462,25.8764088,0.833285784,658.811257,0.829545412
53,253,2.519031036,0.975948759,0.409805538,0.990123521,0.143153219,25.93422623,0.833488944,663.7412895,0.829490836
54,254,2.519270157,0.97694525,0.407560914,0.991226604,0.143537389,25.92259854,0.834417522,666.2656262,0.830337787
55,255,2.506780937,0.977071322,0.402097978,0.991138181,0.136473456,26.13640298,0.834343088,672.4093237,0.830444939
56,256,2.506537775,0.979486609,0.401005752,0.99155918,0.134486234,26.19655032,0.834697486,673.6376566,0.83249777
57,257,2.481195714,0.975273842,0.384366285,0.990645801,0.130909786,26.30479887,0.833928601,692.3506432,0.828917201
58,258,2.483740125,0.981119197,0.386513558,0.990186794,0.125920576,26.45580753,0.833542208,689.9357892,0.833885361
59,259,2.479768702,0.982241758,0.383024073,0.990317193,0.124185678,26.50831779,0.833651978,693.8601146,0.834839462
60,260,2.475728913,0.983660941,0.379133599,0.990466507,0.122467866,26.56031089,0.833777671,698.2353982,0.836045672
61,261,2.459750167,0.982815618,0.366139219,0.990010485,0.120784845,26.61125097,0.83339379,712.8490679,0.835327204
62,262,2.456708137,0.984693923,0.362664249,0.990285857,0.119064108,26.66333262,0.833625599,716.7570695,0.836923637
63,263,2.427180301,0.979695129,0.337972624,0.989872271,0.119640277,26.64589369,0.833277441,744.525631,0.832674999
64,264,2.427471803,0.981438723,0.340293792,0.989634402,0.116104886,26.75289955,0.833077202,741.9152109,0.834156937
65,265,2.413428475,0.981173344,0.328540059,0.989387305,0.114327767,26.80668769,0.832869195,755.1336306,0.833931382
66,266,2.405755531,0.981556169,0.323313414,0.98906414,0.111821808,26.88253569,0.832597154,761.0115921,0.834256757
67,267,2.400039482,0.982204702,0.318862818,0.989021233,0.109950728,26.93916775,0.832561035,766.0167965,0.834807967
68,268,2.378493459,0.978024946,0.300136438,0.988998423,0.111333653,26.89731071,0.832541834,787.0767569,0.831255455
69,269,2.370557348,0.978500599,0.295018728,0.988576934,0.108461087,26.9842548,0.832187022,792.8322079,0.831659728
70,270,2.349403979,0.973616641,0.283892418,0.985399594,0.106495326,27.04375258,0.829512328,805.3450181,0.827508692
71,271,2.321676422,0.96655641,0.260199732,0.985762855,0.109157424,26.96317874,0.829818122,831.9901572,0.821507971
72,272,2.314893548,0.967607024,0.254910727,0.985595688,0.106780109,27.03513304,0.8296774,837.9382493,0.822400922
73,273,2.264426183,0.96229712,0.230543369,0.978824632,0.092761062,27.45944827,0.823977505,865.3421351,0.81788786
74,274,2.262050241,0.96414707,0.229466679,0.978893499,0.089542993,27.55684974,0.824035478,866.5529967,0.819460194
75,275,2.255513096,0.964866059,0.224891139,0.978690038,0.08706586,27.63182526,0.823864204,871.6987155,0.820071286
76,276,2.250297268,0.966195604,0.222228945,0.978407249,0.083465469,27.74079846,0.823626151,874.6926577,0.82120131
77,277,2.246803615,0.967531172,0.219996428,0.978571673,0.080704343,27.82436962,0.823764563,877.2033795,0.822336453
78,278,2.240930849,0.968525579,0.215387483,0.978487595,0.078530192,27.89017475,0.823693786,882.3866658,0.823181632
79,279,2.234771364,0.969121865,0.210691942,0.978607263,0.076350294,27.95615385,0.823794523,887.667339,0.823688435
80,280,2.227691617,0.969741017,0.205963926,0.978331832,0.073654841,28.03773726,0.823562665,892.9845351,0.824214673
81,281,2.213334814,0.968279599,0.1888835,0.979083275,0.077088441,27.93381233,0.824195232,912.1934311,0.822972565
82,282,2.200918728,0.967451295,0.181448087,0.978436321,0.073583026,28.03991091,0.823650624,920.5554052,0.822268562
83,283,2.194865636,0.96794025,0.176537182,0.978658816,0.071729388,28.09601505,0.823837921,926.0782798,0.822684142
84,284,2.181864421,0.967321081,0.16913999,0.977779206,0.067624144,28.22026869,0.823097462,934.3972697,0.82215789
85,285,2.167413058,0.966171114,0.151270943,0.978698184,0.071272816,28.10983413,0.823871061,954.4930604,0.821180495
86,286,2.159219441,0.97022599,0.144572757,0.976232026,0.068188667,28.20318224,0.821795042,962.0259377,0.824626867
87,287,2.149334324,0.970572827,0.13871312,0.975744088,0.064304289,28.32075091,0.821384294,968.6157711,0.824921655
88,288,2.112033581,0.960590475,0.122373648,0.973341918,0.055727541,28.5803438,0.81936214,986.9913799,0.816437327
89,289,2.094500537,0.959946874,0.106470583,0.973179142,0.054903939,28.60527179,0.819225115,1004.876199,0.815890309
90,290,2.085974868,0.960339773,0.102021713,0.972500831,0.051112552,28.72002591,0.818654111,1009.879462,0.816224247
91,291,2.075529546,0.959815115,0.097990064,0.969976112,0.047748256,28.82185322,0.816528795,1014.413514,0.815778323
92,292,2.061445253,0.958869448,0.090322537,0.969059056,0.043194212,28.9596907,0.815756814,1023.036526,0.814974569
93,293,2.05487177,0.960336819,0.085623929,0.968961372,0.039949649,29.05789406,0.815674584,1028.320649,0.816221737
94,294,2.01993833,0.95498048,0.062363343,0.967659383,0.034935124,29.20966896,0.814578565,1054.479843,0.811669209
95,295,2.008134848,0.954985616,0.056146669,0.966727729,0.030274835,29.35072218,0.813794296,1061.471205,0.811673574
96,296,1.994566993,0.954871748,0.049426845,0.965685073,0.024583326,29.52298735,0.812916585,1069.028416,0.811576794
97,297,1.980452479,0.953806435,0.042310412,0.964824897,0.019510736,29.67651972,0.812192486,1077.031661,0.810671349
98,298,1.958571497,0.953002616,0.030902969,0.961495902,0.013170009,29.86843482,0.809390129,1089.860637,0.809988157
99,299,1.944112869,0.952682546,0.023767631,0.960279691,0.007383002,30.04359048,0.808366318,1097.885143,0.809716119
100,300,1.903775793,0.945783711,0,0.957992082,0,30.26705218,0.806440602,1124.614567,0.803852573
